hnid,school,field_of_study,year
joseignaciogal,Terra.do,Climate Change: Learning For Action,2020
joseignaciogal,Y Combinator,Waterplan,2021
joseluisnuno,ITESO Universidad Jesuita de Guadalajara,Economic Development,2011
joseluisnuno,Universidad Autónoma de Guadalajara,Chemical Engineering,1997
joseluisnuno,Universidad de Guadalajara,Biotechnology,2001
joseluisnuno,Universitat Autònoma de Barcelona,Biotechnology,2015
josephgilley,Binghamton University,Computer Engineering,2011
josephgilley,State University of New York at Binghamton,Computer Engineering,2011
josephlai,University of Washington,"Computer Science, Minor In Music",2005
josephnsaliba,University of Notre Dame,Engineering,2004
josephycyeh,"University of California, Berkeley",Applied Mathematics And Computer Science,2021
josephzhou,"University of California, Berkeley","Economics, Legal Studies",2012
josetamura,Los Andes University,Engineering,2018
josh-bidsight,Dartmouth College,Computer Science,2018
joshkim599,"University of California, Irvine",Materials Science And Engineering,2018
joshkim599,University of Illinois Urbana-Champaign,Chemistry,2013
joshleong,The University of Texas at Austin,Information Systems,2008
joshmitchell99,Stanford University,Symbolic Systems,2024
joshnc,Brigham Young University,Mechanical Engineering,2016
joshnc,Brigham Young University - Hawaii,Applied Mathematics,2016
joshs333,Community College of Allegheny County,Software Development,2017
joshs333,University of Pittsburgh School of Computing and Information,Computer Science,2020
joshuaessex,George Mason University,Computer Science,2011
joshuaperk,Community College of the Air Force,Technology And Intelligence Studies,2014
joshuarcher,Make School,Computer Science,2016
joshuarcher,"University of California, Los Angeles",Cognitive Science,2019
joshuareeves,Stanford University,Bachelor’s Degree Electrical Engineering,2005
joshuareeves,Stanford University,Electrical Engineering,2008
joshuawright11,Wheaton College,Computer Science,2016
joshuaying,Cornell University,Computer Science,2019
joshweissburg,University of Oxford,"Entrepreneurship, Venture Finance, Operations, Marketing",2011
joshweissburg,Wheaton College,International Relations,2003
josuegio,Universidad Anáhuac de Cancún,International Tourism Management,2009
josuegio,Y Combinator,Winter 2020,2020
josuemontano,Universidad Católica Boliviana,Computer Science,2011
jotajunior,Columbia University,Computer Science,2015
jotajunior,Universidade Federal de Minas Gerais,Computer Science,2018
jotanino,Penn State Department of Electrical Engineering and Computer Science,Materials Engineering,2002
jotanino,Universidad de Los Andes,Mechanical Engineering,1997
joyantwak,Indian School of Business,"Business Administration And Management, General",2013
joybot56,Rutgers University–New Brunswick,Computer Science And Mathematics,2021
jozhu,Stanford University Graduate School of Business,Master Of Business Administration,2022
jozhu,The University of British Columbia,Honors Bachelor Of Business And Computer Science,2015
jpanchal13,Georgia Institute of Technology,Industrial And Systems Engineering,2008
jparker165,"University of California, Los Angeles",Economics,2006
jpbryan,University of Michigan,Computer Science,2017
jperez,Pontificia Universidad Católica de Chile,Computer Science,2011
jperichon,Université Blaise Pascal,Computer Science,2010
jperichon,Université Laval,Software Engineering,2012
jperichon,Université de Technologie de Belfort,Computer Science,2013
jpetts,University of Pennsylvania,English,2002
jphifer311,Massachusetts Institute of Technology,Computer Science,2020
jpines,Harvard University,Computer Science,2010
jpines,Stanford University,Mathematics,2007
jpochtar,Harvard University,Computer Science,2017
jpoz,University of Oregon,Economics,2006
jpren,Cornell University,Operations Research And Engineering,2007
jpuskarich,Massachusetts Institute of Technology,Electrical Engineering And Computer Science,2005
jpuskarich,Massachussets Institute of Technology,Electrical Engineering,2004
jpzepedanunez,Pontificia Universidad Catolica de Chile,Industrial And Systems Engineering,2020
jqbrown,Louisiana Tech University,Biomedical Engineering,2005
jquintard,University of Cambridge,Computer Science,2010
jra6,Stanford University Graduate School of Business,Business Administration,2015
jrampa,Boston University,Computer Engineering,2020
jrdorn,Arizona State University,Computer Science,2011
jrgarciadev,Universidad de Carabobo (VE),Engineering,2018
jrgoodner,University of Southern California,Biomedical Engineering,2014
jrgoodner,University of Southern California,Engineering Biomedical Engineering,2011
jrgoodner,Washington University in St. Louis,Engineering Biomedical Engineering,2007
jrichards27,Columbia Law School,Law,2008
jrichards27,King's College London,Law,2006
jritossa,Princeton University,Computer Science,2020
jrkelly,Massachusetts Institute of Technology,Biological Engineering,2008
jrkelly,Massachusetts Institute of Technology,Chemical Engineering,2003
jroche,Memorial University of Newfoundland,Electrical Engineering,2009
jrrutten,Le Wagon,Computer Science,2019
jrrutten,University of Amsterdam,Master Of Business Administration,2012
jrudin,"The Wharton School, University of Pennsylvania",Finance And Management,2014
jrudin,University of Pennsylvania,Digital Media Design,2014
jrvarela56,University of Pennsylvania,Operations And Information Management,2012
jrzhang,Stanford University,Electrical Engineering,2011
jrzhang,Stanford University,"Electrical Engineering, Control Systems",2012
jsarre,The University of Edinburgh,Maths And Artificial Intelligence,2008
jschoenholtz,Columbia University,Computer Science,2004
jschorr,"The Wharton School, University of Pennsylvania",Technological Entrepeneurship,2008
jschorr,University of Pennsylvania,Computer And Information Science,2008
jschwartz11,Harvey Mudd College,Engineering,2013
jsgriffith,University of Cambridge,Engineering,2014
jshah,University of Waterloo,Mechatronics Engineering,2011
jshchnz,"University of California, San Diego",Economics,2015
jsheller,Iowa State University,Computer Science,2008
jsherwani,Carnegie Mellon University,"Computer Science, Human",2009
jsherwani,Lahore University of Management Sciences,Computer Science,2002
jslezak,Cornell University,Physics,2007
jslezak,Harvard University,Berkman Klein Center For Internet And Society,2012
jslezak,Princeton University,Kahneman Center For Behavioral Science And Public Policy,2020
jslezak,University of Sydney,Mathematics,2000
jsmedmar,EIA University,Biomedical Engineering,2013
jsmedmar,New York University,Informatics,2015
jsoni,University of Waterloo,Electrical And Computer Engineering,2010
jspiotti,Massachusetts Institute of Technology,Mechanical Engineering,2019
jspitz,Stanford University,Management Science And Engineering,2014
jspitz,"The Wharton School, University of Pennsylvania",Entrepreneurship And Innovation,2020
jstambolis,Harvard Humanitarian Initiative,Humanitarian Affairs,2012
jstambolis,Macquarie University,Corporate And Commercial Law,2005
jstambolis,University of New South Wales,"International Peace And Security, Global Health Security",2010
jstephan,"Ecole Polytechnique, Paris",Math And Computer Science,2013
jstephan,Stanford University,Management Science And Engineering,2015
jsun,University of Illinois Urbana-Champaign,Finance,2007
jsunderland323,Bard College,Chemistry,2013
jthirani,"The Wharton School, University of Pennsylvania",Finance,2021
jthirani,University of Pennsylvania,Computer Science,2021
jthomaslm,University of Southampton,Aeronautics And Astronautics,2015
jthompson4004,Georgia Institute of Technology,Computer Science,2021
jthompson4004,Tsinghua University,Computer Science,2019
jtiret,EFREI - Ecole Française d'Electronique et d'Informatique,"Computer Science, Software Engineering, Communication, Project Management, Marketing",2011
jtiret,"King's College London, U. of London",Mathematics,2008
jtlobo,London School of Economics and Political Science,Technology And Management,2020
jtwarren,Massachusetts Institute of Technology,Computer Science And Engineering,2014
jtwarren,Rensselaer Polytechnic Institute,"Computer And Systems Engineering, Computer Science",2011
juanaltamirano0,Universidad Nacional de Cordoba,Bussines,2017
juanchomali,University of Michigan,Economics,2022
juancoll,Escola Massana,Art Studies,2004
juancoll,Lycée Fénelon,Science Branch,1996
juancoll,UPC School (Universitat Politècnica de Catalunya),Quantitative Techniques For Financial Markets,2021
juancoll,Universitat Ramon Llull,Computer Engineering,2003
juancoll,Universitat Ramon Llull,Multimedia Engineering,2002
juancoll,Université Pierre et Marie Curie (Paris VI),Matemáticas,1998
juanferrero,Universidad Blas Pascal,Ingeniería De Telecomunicaciones,2006
juanplusjuan,Dartmouth College,"Computer Science, Studio Art, Spanish Literature",2002
juanpoveda,Universidad del Rosario,Business Administration,2017
juanpoveda,University of Oxford,Business,2019
juansalcedo,Escuela de Organización Industrial,Business Administration,2005
juansalcedo,Stanford University Graduate School of Business,Endeavor Innovation And Growth Program,2016
juansalcedo,Universidad de Los Andes,Industrial Engineering,1998
jude_rizzo,Cornell University,Mathematics,2024
judgardner,Rutgers University,Computer Science,2007
julesT,McGill University,Computer Science,2013
julesT,"University of California, Santa Barbara",Computer Science,2015
julia-zheng,"The Wharton School, University of Pennsylvania",Economics,2013
julianalauren,Dresden University of Technology,Molecular Bioengineering,2017
julianalauren,Virginia Tech,Biological Sciences,2015
julianoalves,Pontifícia Universidade Católica de São Paulo,Computer Software Engineering,2010
julianoalves,Universidade Cruzeiro do Sul,Bachelor Of Computer Science,2008
julianoalves,Y Combinator,W21 Batch,2021
juliemecca,Georgia Institute of Technology,Computer Science,2018
julien_soros,Yale University,Electrical Engineering,2017
juliushi,Stanford University,Management Science And Engineering,2024
juliushi,University of Oxford,"Philosophy, Politics And Economics",2019
jumaphelix,University of Nairobi,Bsc,2018
jumploops,University of Michigan College of Engineering,Computer Engineering,2013
jungkwon89,Seoul National University,Electrical Engineering And Computer Sciences,2017
junsup,Harvard University,Applied Mathematics And Computer Science,2015
junyuan,CFA Institute,Finance,2014
junyuan,The University of Manchester,Business Management,2010
junyuan,University of Pennsylvania,Computer Science,2020
jusduan,"University of California, Berkeley",Business,2021
justin,Yale University,"Physics, Philosophy",2005
justinboogaard,"University of California, Los Angeles",Business Economics,2011
justinleder,Duke University,Economics And Mathematics,2014
justinmay,East Brunswick High School,High School Diploma,2016
justinmay,Rutgers University,"Computer Engineering, Computer Science",2020
justinrotman,Queen's University,Sociology,2016
justinsb,University of Cambridge,Mathematics,1999
justintorre75,Northeastern University,Computer Engineer And Computer Science,2020
justinvencel,Northern Illinois University,Computer Science,2001
justusmattern,RWTH Aachen University,Computer Science,2024
jvgreen5,Georgetown University,Foreign Service,2006
jvixtor,Universidad Nacional de Ingenieria,Civil Engineering,2002
jvixtor,University at Buffalo,Structural And Earthquake Engineering,2014
jvyduna,Massachusetts Institute of Technology,Entrepreneurship And Innovation Track,2010
jvyduna,University of Illinois Urbana-Champaign,Electrical Engineering/cs,2002
jw00zy,Harvard University,Economics,2019
jwang815,"University of California, Berkeley, Haas School of Business",Business Administration,2009
jwilson10,Duke University,Public Policy,2011
jwilson10,Massachusetts Institute of Technology,Leave Of Absence Since 2016,2017
jwonged,University of Cambridge,Computer Science,2018
jxodwyer1,Indiana University Bloomington,Informatics,2013
jxodwyer1,International School of Brussels,High School Diploma,2009
jxs8898,RIT,Chemistry And Mat Sci,2018
jyniiro,Colorado State University,English,2008
jyotindra,University of Mumbai,Information Technology,2004
jyotindra,Virginia Polytechnic Institute and State University,Computer Science,2006
jyw,Massachusetts Institute of Technology,Computer Science,2004
jzthebomb,Duke University,Ece/cs And Econ/finance,2017
jzucchi,Columbia University,History And Political Science,2013
k0tkas,Estonian Business School,Entrepreneurship And Business Administration,2018
k7lim,Stanford University,Communication,2003
k7lim,"University of California, Berkeley",Information Science,2008
kabeer,McGill University,Computer Engineering,2009
kabeer,University of Pennsylvania,"Entrepreneurship, Marketing And Business Analytics",2017
kabenclauson,American University,Business Administration,2013
kabirnagral,Harvard University,Computer Science,2019
kabirsethi,McGill University,Engineering,2020
kabiryabo,FUT MINNA,Quantity Surveying,2003
kairuiwang,University of Chicago,Mathematics,2013
kaiserleo,ITESO,Computer Science,2006
kaishu,IIT Roorkee,Biotechnology,2020
kaistinchcombe,Colorado College,"History, Math And Computer Science",2002
kaistinchcombe,Stanford University,Political Science,2005
kaizomai,The University of Texas at Austin,Brain Computer Interfaces,2018
kalam,Clark Atlanta University,Marketing,2003
kalimmir,Queen Mary University of London,Molecular Biology,1988
kalimmir,University of Oxford,Biochemistry,1995
kalingwu,Brown University,Civil Engineering,2014
kalingwu,Brown University School of Engineering,Fluid And Thermal Sciences,2015
kalvin,Stanford University,Computer Science,2008
kalyrama,Stanford University,Computer Science,2021
kamal_nahas,Collège Notre-Dame de Jamhour (in Lebanon),"General Education, Science And Mathematics Specialization",2020
kamal_nahas,"University of California, Berkeley",Eecs: Electrical Engineering And Computer Sciences,2024
kamesstory,Duke University,Computer Science,2020
kamilali,Stanford University,Computer Science,2022
kamilali,The University of Texas at Austin,Computer Science,2019
kamiljk,"University of California, Santa Cruz",Computer Science,2021
kamran_iosite,IIT Roorkee,Electronics Engineering,2015
kanevski,Emory University,Computer Science,2005
kangjl888,Stanford University,Symbolic Systems,2021
kanjun,Massachusetts Institute of Technology,Computer Science And Engineering,2012
kansface,University of Pittsburgh,"Physics, Music",2008
kansumine,Massachusetts Institute of Technology,Technology And Policy Program,2019
kansumine,Tufts University,Quantitative Economics,2014
kantthpel,Cornell University,Computer Engineering,2019
kantthpel,Rensselaer Polytechnic Institute,Electrical And Computer Engineering,2012
kantthpel,"University of Massachusetts, Amherst",Electrical And Computer Engineering,2014
kapilsinha,California Institute of Technology,Computer Science,2020
kapital2021,IE Business School,Gestion Empresarial Europea,2011
karamazov,Massachusetts Institute of Technology,Mathematics,2012
karan0304,IIT Roorkee,Applied Mathematics,2019
karangrover,The University of British Columbia,Computer Science,2019
kareninkenya,Brown University,Environmental Studies / International Development,1994
kareninkenya,London School of Economics and Political Science,Social Policy,2000
kareninkenya,University of London,Development Planning,2008
karimatiyeh,Harvard University,Computer Science,2011
karims,ETH Zurich,Electrical Engineering,2020
karinemellata,McGill University,Computer Engineering,2020
karinu,Washington University in St. Louis,Bachelor Of Arts,2011
karlclement,University of Ottawa,Commerce,2012
karlhwhite,Coleg Meirion,Computer Science,1998
karlkeefer,"University of California, San Diego","International Studies, Linguistics, Cognitive Science",2009
karnesw,University of Minnesota,"Biology/biological Sciences, General",1976
karnesw,University of Minnesota,Medicine,1986
karthikb,Stanford University,Aeronautics And Astronautics,2016
karthikb,"University of California, San Diego",Aerospace Engineering,2009
kartik_donepudi,Massachusetts Institute of Technology,Computer Science And Economics,2025
kartikye,"University of California, Berkeley",Computer Science And Electrical Engineering,2020
kashifali00,Queen's University,Computer Science,2011
kater_rob,Portland State University,Trumpet Performance,2015
kater_rob,"University of California, Los Angeles",Trumpet Performance,2016
katherineflo,University of Texas at Austin,Engineering/liberal Arts,2019
katherinehe,Massachusetts Institute of Technology,"Computer Science, Management",2023
kathomuth,York University,Business,2011
kathrynwww,"University of California, Berkeley",Computer Science,2019
kathyqueenly,University of Pennsylvania,Computer Science,2015
katxwang,Beijing Normal University,Chinese Minor,2013
katxwang,Dartmouth College,Economics And Finance,2016
katya_shteyn,ETH Zurich,Computer Science,2014
katya_shteyn,University of Toronto,Computer Science Specialist,2015
katyashe,Stanford University,Environmental Engineering,2012
kaushik92,IIIT Hyderabad,Computer Science And Engineering,2014
kaushikktiwari,Columbia University,Operations Research,2017
kaustubhkhade,IIT Delhi,Computer Science,2009
kavehnemati,California Polytechnic State University-San Luis Obispo,Statistics,2020
kazevedo,Georgia Institute of Technology,Mechanical Engineering,2010
kazevedo,Johns Hopkins University,Mechanical Engineering,2008
kbambz,Brown University,Computer Science,2011
kbnammacher,The Maryland Institute College of Art,Printmaking And Curatorial Studies,2010
kbrandes,Massachusetts Institute of Technology,Computer Science,2019
kbyatnal,Duke University,Computer Science,2017
kcaluru,Brown University,Computer Science,2017
kchiu20,Stanford University,Computer Science,2014
kchiu20,Stanford University,Management Science And Engineering,2015
kckurien,Manipal Institute of Technology,Computer Engineering,2008
kckurien,University of Michigan - Stephen M. Ross School of Business,Strategy And Operations,2015
keatonelvins,"University of California, Berkeley",Electrical Engineering And Computer Science,2022
keatonium,University of Arizona,Biochemistry And Molecular Biophysics,2010
keatonium,University of Arizona,Biochemistry And Molecular Biophysics/ Molecular And Cellular Biology/ Applied Mathematics,2009
keatonium,University of Washington,Bioengineering,2015
keatonium,University of Washington - Michael G. Foster School of Business,Biotechnology Commercialization,2015
keellylu,Massachusetts Institute of Technology,Computer Science And Engineering,2024
keishalao,Ateneo de Manila University,Communication,2017
keks0r,"Cooperative State University,",Business Informatics,2011
keks0r,KTH Royal Institute of Technology,Ict Innovation,2017
keks0r,Technische Universität Berlin,Ict Innovation,2016
kele2481,Cornell University,Computer Science,2016
kelleyk,Massachusetts Institute of Technology,Computer Science,2011
kenanpulak,Virginia Tech,Computer Engineering,2012
kendracoin,University of Pennsylvania,Digital Media Design,2009
kennethlou,NUS Overseas Colleges,Information Technology,2015
kennethlou,National University of Singapore,"Business Administration And Management, Finance, Minor In Technopreneurship",2016
kennyivan,Y Combinator,W21,2021
kennystone,Purdue University,Computer Engineering,2004
kensukenumakura,Tohoku University,Engineering,2012
kentmori,"University of California, Los Angeles",Business/managerial Economics,2007
keonlee15,Yonsei University 연세대학교,Economics,2015
kepano,Art Center College of Design,Product Design,2011
kepano,Colorado College,Biology,2007
keshavchouksey,"Indian Institute of Technology, Hyderabad",Chemical Engineering,2019
keshavchouksey,"Macro Vision Academy, Burhanpur",938%,2015
kev3522,Rice University,Computer Science,2020
kevin-oconnell,Stanford University,Law,2017
kevin-oconnell,Williams College,History,2013
kevinbai0,University of Waterloo,Computer Science,2020
kevinbunarjo,"University of California, Berkeley",Computer Science,2018
kevinbunarjo,"University of California, Berkeley, Haas School of Business",Business Administration,2018
kevinemoore,Duke University,Electrical Engineering,1997
kevinemoore,University of Wisconsin,Computer Science,2007
kevingao1,Stanford University,Economics,2006
kevinjacyna,The University of British Columbia,Computer Science,2019
kevinliu11,"University of California, Berkeley",Economics,2011
kevinlu1248,University of Waterloo,Computer Science,2023
kevinpetrovic,Massachusetts Institute of Technology,Management,2020
kevinpetrovic,Princeton University,Operations Research And Financial Engineering,2012
kevinsane,Harvey Mudd College,Engineering,2005
kevinsane,"University of California, Los Angeles",Mechanical Engineering,2011
kevintan,Yale University,Physics,2016
kevinyang222,Princeton University,"Operations Research, Financial Engineering",2014
kevinzhuang10,"University of California, Berkeley",Mechanical Engineering,2015
kevlened,North Carolina State University,Business Information Systems,2011
kevo1ution,Texas A&M University,Computer Science,2020
kevo1ution,Texas Academy of Math and Science (at University of North Texas),General,2017
kevsim,Colby College,Computer Science,2002
kevsim,Tufts University,Computer Science,2004
keysersosa,Harvard University,Physics,2007
keysersosa,Harvard University,Physics And Math,1999
kf93,University of Southern California,Philosophy,2015
kg4lod,David Geffen School of Medicine at UCLA,Neuroscience,2014
kg4lod,Georgia Institute of Technology,Computer Engineering,2003
kg4lod,"University of California, Los Angeles",Electrical Engineering,2011
kg4lod,University of Southern California,Information Networks Division,2011
kgbarayor1,Brown University,Computer Science,2009
kgbarayor1,George Washington University,Computer Science,2017
kgbarayor1,The George Washington University,Computer Science,2021
kgbarayor1,Yale University,Computer Science And Psychology,2003
khaledhagem,Quality Leadership University,Negocios Internacionales/comercio Internacional,2019
khallil,University of Waterloo,Computer Science And Business,2016
khallil,Wilfrid Laurier University,Computer Science And Business,2016
khashimoto,Cornell University,Electrical And Computer Engineering,2004
khuram313,The University of Manchester,Aerospace Engineering,1998
khux,Universität  Zürich | University of Zurich,Computer Science,2024
kilianciuffolo,ITIS Luigi Cerbotani,Computer Science,2005
kilianjustus,University of Oxford,Economics,2018
kilianjustus,Williams College,Economics,2019
killerham,The University of Western Ontario,Computer Science,2014
killion,University of Minnesota,Neurobiology/computer Science,2000
kimmarthur,Yonsei University,Business,2015
kineticac,"University of California, Santa Barbara",Computer Science,2005
kirankgollu,"Birla Institute of Technology and Science, Pilani",Information Systems,2003
kirankgollu,University of Toronto,Computer Science,2008
kirillklimuk,Duke University,Computer Science,2014
kirillzubovsky,University of Toronto,"Entrepreneurship, Innovation And Small Business Management",2008
kirillzubovsky,University of Toronto,Industrial Engineering,2010
kirillzzy,Y Combinator,W21,2021
kizy625,University of Lincoln,Economics,2017
kizy625,Université Paris 1 Panthéon-Sorbonne,Data Science And Finance,2019
kizy625,Université de Strasbourg,Economics,2016
kjdadon,Ruhr University Bochum,Cyber Security,2015
kjdadon,Stanford University,Machine Learning,2016
kjdadon,Technical University Dortmund,Computer Science,2011
kjerstin,Stanford University,Public Policy,2005
kkbhav,IIT Bombay,Civil Engineering,2015
kkilat,Stanford University,Management Science And Engineering,2006
kkliman,Brown University,Sociology And Business,2006
kkliman,University of Southern California,Dentisrty,2010
kkouddous,Imperial College London,Msc,2000
kkouddous,The University of Manchester,Bsc,1998
klander3,Hult International Business School,International Business,2011
klander3,Pepperdine University,Mathematics And Economics,2010
klaukee,Carnegie Mellon University,Industrial Design And Human Computer Interaction,2013
kldaace,University of Chicago,Mathematics,2015
kmeelu52,Yale University,Math And Computer Science,2017
kmgrassi,College of the Holy Cross,Biology,2007
kmgrassi,Stony Brook University Health Sciences Center School of Medicine,Medicine,2012
kmiri,Stanford University,Computer Science,2022
kmmoore,Stanford University,Computer Science,2014
kn0thing,University of Virginia,History,2005
knaraya,Clemson University,Electrical And Computer Engineering,2005
knarfeel,"University of California, Los Angeles",Business Economics,2014
kneonx,Ngee Ann Polytechnic,Information Technology,2008
knighthacker,"Arab Academy for Science, Technology and Maritime Transport",Computer Science,2005
knighthacker,Virginia Tech,Computer Science,2007
knkher,Georgia Institute of Technology,Computer Science,2009
knkher,K. J. Somaiya College Of Engineering,Computer Science,2006
knkher,S.V.P.T's Saraswati Vidyalaya High School and Junior College,Science,2002
knrz,University of Waterloo,Systems Design Engineering,2021
kobimantzur,College of Management,Computer Science,2018
kocolosk,Massachusetts Institute of Technology,Physics,2010
kocolosk,University of Dayton,"Physics, Philosophy",2004
kofman,University of Illinois Urbana-Champaign,Computer Science,2002
kogir,Stanford University,Computer Science,2005
koji,Georgia Institute of Technology,Mechanical Engineering,2009
koji,University of Illinois Urbana-Champaign,Industrial And Enterprise Systems Engineering,2006
kojohutch,Calvin College,Computer Science And Philosophy,2002
kojohutch,University of Michigan,Human Computer Interaction,2008
kokorich,Moscow School of Management SKOLKOVO,Business,2010
kokorich,Novosibirsk State University of Economics and Management,Finance,2004
kokorich,Stanford University Graduate School of Business,Stanford Executive Program,2016
kokwudili,Finger Lakes Community College,Chemistry And Biology,2016
kokwudili,University of Rochester,Epidemiology,2018
kolchinski,Stanford University,Learning Sciences,2020
kolchinski,University of Chicago,Computer Science,2014
kolnik,Boston University,Computer Engineering,2014
komal1120,"University of California, Berkeley",International Health And Global Development,2012
koning369,Covenant University,Accounting,2018
koning369,Data Science Nigeria,Artificial Intelligence,2018
koning369,Make-IT in Africa (GIZ),Capacity Development For Agtech,2020
konradgeiger,WHU - Otto Beisheim School of Management,Business,2019
konsti-h,RWTH Aachen University,Computer Science,2023
kopko,Princeton University,Economics,2008
kopko,University of Chicago,Law And Business,2012
koppong,Princeton University,Computer Science,2014
korzhacke,Michigan State University,Economics And Computer Science,2018
korzhacke,Michigan State University,Machine Learning,2019
kothariy,"The Wharton School, University of Pennsylvania","Marketing, Management, Operations",2015
kparashar,Johns Hopkins University,Computer Science,2002
krakov,The Hebrew University of Jerusalem,Computer Science,2013
krakov,The Hebrew University of Jerusalem,Physics And Computer Science,2005
krama757,"University of California, San Diego",Bioengineering,2008
krama757,University of Utah,Bioengineering,2014
krambs,University of Wisconsin Law School,Law,2009
krammer,Instituto de Inteligencia Artificial,Artificial Intelligence,2020
krammer,Universidad de Alicante,Computer Science,2003
krawczstef,Stanford University,Computer Science,2010
krawczstef,Victoria University of Wellington,Computer Science,2006
krawczstef,Victoria University of Wellington,Computer Science And Mathematics,2005
krawfy,University of Chicago,Computer Science,2020
krawfy,University of Chicago,Mathematics And Philosophy,2018
krel,Startup School Online,Graduated,2019
krel,äº¬éƒ½èŠ¸è¡“ãƒ‡ã‚¶ã‚¤ãƒ³å°‚é–€å­¦æ ¡ - Creative Design College,Graphic And Ux Design,2011
krel,京都芸術デザイン専門学校 - Creative Design College,Graphic And Ux Design,2011
kreutz,Y Combinator,A+,2015
kride,Aalto University,Work Psychology And Leadership,2017
kride,University of Jyväskylä,Information Systems Science And Economics,2019
kristengallogly,"University of California, Berkeley, Haas School of Business",Undergraduate Business Administration,2016
krnjn,Tufts University,"Economics, International Relations",2009
krsmith35,BYU,Physics,2004
krsmith35,Massachusetts Institute of Technology,Nuclear Science,2007
krukah,Harvard University,Physics,2022
ksearsbooks,University of Southern California,Theater,1991
kshitijzeoauto,IIT Kharagpur,Electronics And Electrical Communications Engineering,2014
ksikka,Carnegie Mellon University,"Computer Science, Computational Biology",2014
ksikka,Columbia University,Nanotechnology,2011
ksikka,Stony Brook University,Materials Science,2011
ksingh120,Queens College,Bachelor Of Arts,2014
ksj2114,Columbia University,Computer Science,2016
ksj2114,Y Combinator,Startups,2020
kstiger,Carnegie Mellon University,Electrical And Computer Engineering,2015
kudry,Douglas College,"Business Administration And Management, General",2014
kul,University of Oxford,"Politics, Philosophy And Economics",2005
kunalch,UC Berkeley College of Engineering,Electrical Engineering And Computer Science,2018
kunalch,"University of California, Berkeley",Computer Science,2017
kunalch,"University of California, Berkeley",Electrical Engineering And Computer Science,2019
kunalch,"University of California, Berkeley, Haas School of Business",Management And Technology,2017
kunaldeewan,"VIT University, Vellore",Computer Science,2012
kunalgupta,Columbia University,Music / Computer Science,2004
kunalgupta,New York University,Interactive Telecommunications Program,2007
kundan2510,IIT Kanpur,Computer Science,2017
kundan2510,Université de Montréal,Artificial Intelligence,2022
kunwar1995,"Shaheed Sukhdev College of Business Studies, Delhi University",Finance And Management,2016
kursadaraz,Boğaziçi University,Physics,2001
kursadaraz,Cornell University,"Applied And Engineering Physics, Electrical Engineering",2010
kurttheviking,Miami University,Statistics And Accounting,2006
kurttheviking,The University of Chicago Booth School of Business,Economics And Econometrics,2011
kushal_pillay,National University of Singapore,Computer Science And Electrical Engineering,2018
kuyda,Libera Università di Lingue e Comunicazione IULM,Journalism,2005
kuyda,London Business School,Finance,2012
kuyda,Moscow State Institute of International Relations (University) MFA Russia MGIMO,International Journalism,2008
kvaughan,Rice University,Philosophy,2017
kvaughan,Trinity University,Philosophy/psychology,2009
kvejdani,Stanford University,"Pet/ct, Nuclear Medicine",2016
kvejdani,Tehran University of Medical Sciences,Medicine,2003
kvejdani,"University of California, San Francisco",Tissue Engineering,2009
kvh,Duke University,Statistics,2011
kvh,"University of California, Santa Cruz","Economics, Mathematics",2008
kvnlw,Boston University,"Computer Science, Mathematics",2005
kwent,Telecom Bretagne,Computer And Telecommunications Engineering,2012
kwi,"Dalian University of Technology, China",4th Year Of The Epitech Master Done In China,2007
kwi,EGE - Economic Warfare School of Paris,Competitive Intelligence,2021
kwi,"EPITECH, France",Computer Science,2008
kwindla,Harvard University,Near Eastern Languages And Civilizations,1996
kwindla,Massachusetts Institute of Technology,Media Lab,1999
kwtaylor,Iowa State University,Agricultural Biochemistry,2006
kwtaylor,Stanford University,Cell And Molecular Biology,2011
kylearchie,Stanford University,Computer Science,2015
kyleblarson,Dartmouth College,"Computer Science, Engineering",2001
kylegalbraith,Portland Community College,Multimedia,2011
kylegalbraith,Portland State University,Computer Science,2015
kylemichelson,London School of Economics and Political Science,Government And Globalization,2011
kyparus,Taras Shevchenko National University of Kyiv,Computer Science,2019
kyriakosel,Imperial College London,Management,2017
kyriakosel,University of Leeds,Electrical Engineering,2016
kysebo,Algonquin College of Applied Arts and Technology,Internets,2013
kysebo,Carleton University,Dropped Out,2006
kyu,University of Illinois Urbana-Champaign,Finance,2007
kyu474,Academy of Art University,New Media Design,2006
kyu474,University of Hawaii at Manoa,Intermedia,2001
l2succes,New York University,Computer Science,2012
l_perrin,Ecole polytechnique,Computer Science,2004
l_perrin,Télécom Paris,Computer Science,2006
laanuk13,Georgia Institute of Technology,Computer Science,2018
lacker,Duke University,Mathematics And Computer Science,2002
lacker,"University of California, Berkeley",Computer Science,2004
lahotisharad,IIT Kanpur,Electrical Engineering,2008
laila90,Alazhar University - Gaza,Computer Engineering,2013
laila90,University of Washington,Electrical Engineering,2016
lajoyosa,Harvard Business School,Business And Management,2017
lajoyosa,ISAE Supaero,Aerospace Engineering,2011
lajoyosa,Universidad Politécnica de Madrid,Aeronautical Engineer,2009
laks_srini_hn,PSG College of Technology,Software Engineering,2005
lakshays,Massachusetts Institute of Technology,Mechanical Engineering,2021
lakshays,University of Pennsylvania,Computer Engineering,2021
lalban,Pontificia Universidad Católica del Peru,Economics,1995
lalban,"The Wharton School, University of Pennsylvania",Business,2001
lalushula,Strathmore University,Computer Science,2014
